id,word,word_type,priority,ptnk_evidence
PTNK26-0001,errand,n,P1,2026 · Language Use · Q1 · correct answer
PTNK26-0002,run errands,exp,P1,2026 · Language Use · Q1 · contextual pattern
PTNK26-0004,derivative,adj,P1,2026 · Language Use · Q2 · correct answer
PTNK26-0006,malleable,adj,P1,2026 · Language Use · Q9 · correct answer
PTNK26-0008,cotton on to,exp,P1,2026 · Language Use · Q16 · correct answer
PTNK26-0010,in the face of,idi,P1,2026 · Language Use · Q25 · correct answer
PTNK26-0011,clear the decks,idi,P1,2026 · Language Use · Q26 · correct answer
PTNK26-0013,cut your losses,idi,P1,2026 · Language Use · Q31 · correct answer
